TRANS_ID;CUST_ID;TRANS_AMT;TRANS_DATE
200194;76526;5144.76;2003-03-17
200195;71971;7300.932;2010-03-17
200196;43062;3427.431;2009-04-04
200197;73579;2035.249;2013-08-30
200198;67342;9333.362;2013-11-25
200199;87918;843.195;2002-05-14
200200;71369;7307.605;2002-09-19
200201;19947;4111.019;2006-01-08
200202;17264;9550.199;2006-07-02
200203;13658;9952.39;2012-02-29
200204;75046;5577.58;2008-08-17
200205;94015;8622.337;2001-11-08
200206;62079;2529.002;2005-03-29
200207;18460;9251.751;2006-02-07
200208;18800;6827.004;2009-09-22
200209;29146;1809.58;2008-02-15
200210;70590;4585.851;2010-09-27
200211;46607;7010.382;2003-11-09
200212;62032;9643.693;2002-07-09
200213;10340;5413.563;2002-03-25
200214;24536;8982.909;2007-01-12
200215;57783;2173.766;2001-08-20
200216;19176;2734.19;2006-02-11
200217;31563;5833.226;2001-11-21
200218;80928;7268.55;2003-06-13
200219;51541;537.688;2008-06-27
200220;92615;5896.284;2008-10-01
200221;20126;4551.336;2009-04-30
200222;82150;9618.168;2011-09-30
200223;49483;2425.148;2006-01-14
200224;27427;5988.712;2011-02-03
200225;35482;4836.096;2002-07-27
200226;35748;2717.797;2004-09-03
200227;23932;5246.787;2006-02-21
200228;59753;8138.845;2011-11-03
200229;26988;2630.36;2006-01-26
200230;50800;1098.237;2007-06-17
200231;37422;1193.261;2002-10-21
200232;55934;4440.116;2013-06-30
200233;64684;360.059;2009-11-08
200234;24324;3968.26;2005-10-07
200235;78143;7705.55;2006-08-15
200236;75181;9941.259;2004-07-14
200237;38543;6820.016;2009-02-03
200238;90103;3605.293;2004-09-17
200239;73542;7362.448;2011-08-15
200240;95474;6548.801;2003-09-22
200241;79594;8687.581;2006-07-16
200242;20622;3850.573;2001-11-26
200243;84749;271.668;2003-01-14
200244;82392;731.479;2004-07-01
200245;97677;3.322;2009-09-07
200246;94955;1301.282;2007-10-19
200247;99527;3345;2012-03-20
200248;23131;2817.675;2009-03-10
200249;47745;6708.274;2009-01-03
200250;35826;8745.967;2009-05-26
200251;19792;9769.039;2005-02-01
200252;41717;1042.753;2007-06-20
200253;53213;1655.011;2012-11-12
200254;15846;478.065;2001-12-09
200255;76112;4571.776;2010-09-24
200256;35706;4927.135;2009-09-16
200257;33249;503.146;2013-11-22
200258;52874;5146.245;2010-12-06
200259;34993;2476.821;2011-01-28
200260;38182;7255.57;2012-11-19
200261;60424;7376.703;2007-11-14
200262;84632;8494.009;2003-02-12
200263;66663;6146.417;2004-05-07
200264;70390;374.766;2011-02-08
200265;85271;7440.298;2009-10-27
200266;79797;3869.991;2011-03-25
200267;52328;4440.791;2007-05-14
200268;22781;9030.569;2009-03-25
200269;72044;7297.199;2006-07-27
200270;29680;8888.767;2007-10-07
200271;38869;7519.47;2007-02-01
200272;43808;3363.616;2010-06-02
200273;33439;2349.049;2006-11-12
200274;77807;6843.927;2012-05-22
200275;53063;7953.216;2001-06-13
200276;63099;7752.694;2007-07-27
200277;89362;2010.608;2010-10-25
200278;26218;3793.147;2001-07-12
200279;68337;7216.269;2008-01-04
200280;11952;6623.139;2007-12-12
200281;28332;4362.431;2002-06-30
200282;96763;2030.354;2008-01-23
200283;31480;7752.047;2005-02-11
200284;94509;8404.886;2004-10-11
200285;93784;2880.945;2004-12-15
200286;89574;9495.193;2010-06-19
200287;84556;4997.766;2003-05-12
200288;95060;7814.448;2006-09-07
200289;32027;2867.274;2010-05-04
200290;28248;5129.021;2004-12-17
200291;43036;2014.441;2007-03-05
200292;91919;2893.822;2011-06-11
200293;58104;7485.909;2004-03-29
200294;85167;2202.415;2011-02-11
200295;44781;5285.629;2005-08-01
200296;25537;9638.792;2002-07-19
200297;95078;885.517;2010-05-20
200298;97973;9469.494;2005-02-06
200299;12880;4922.349;2009-09-10
200300;40735;6966.121;2008-07-04
200301;95747;204.026;2004-06-12
200302;76429;5225.655;2008-01-07
200303;43464;7956.977;2011-01-19
200304;94853;8728.312;2012-12-17
200305;51999;9498.285;2006-03-14
200306;23906;1499.955;2009-05-17
200307;92143;3159.794;2013-05-17
200308;57330;88.674;2011-01-23
200309;18176;317.947;2008-06-14
200310;59977;64.261;2003-08-18
200311;26386;9149.715;2009-03-30
